number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1, 3.45053 0.312293        2,-5.32483 0.360777  7.11945, -3.0503 0.752749        0,4 0 0,-2.19053 0.694496  1.94191,  1.80897 0.0140827   2.37949,0.0234139  0.264362 0.0064201  0.964118
2, 3.98511 -0.77556        2,-7.05769 0.928423  6.64813,-3.96364 0.270079        0,4 0 0, -3.2869 0.181056  1.26879,   1.13367 -0.0283768     2.9151, 0.0229347   0.297225 0.00714169   0.954505
3, 3.45805 -0.14507        2,-6.20606 0.742858  8.09284,-4.29317 0.782742        0,4 0 0,-3.34007 0.668657  2.13911,  1.87663 0.0415743   2.40432,  0.029345    0.28176 0.00862176   0.958997
4,  3.84089 -0.641481         2,-5.94163 0.309834  8.70127,-3.86724 -0.23953        0,4 0 0, -2.80897 -0.294715   2.51686,   1.16023 -0.0109029    2.52983,0.000153148    0.279799 4.46334e-05    0.960059
5,  3.09277 -0.431252         2,-4.71195 0.864179  8.03675,-3.04864 0.695091        0,4 0 0,-2.17861 0.535526   2.3417,  1.45198 0.0962793   2.38188,0.0322969  0.258004 0.0086299  0.965565
6,  3.09782 -0.278223         2,-6.57208 0.309961  6.72115, -4.45787 0.0781284         0,4 0 0,failed,failed,failed
7,   3.50367 -0.0788334          2, -5.75306 0.0371703    7.7256,  -3.66154 -0.0325392          0,4 0 0,  -2.64723 -0.0390926    2.25428,  1.48827 0.0468325   2.57042,2.50317e-06    0.275989 7.18761e-07    0.961161
8, 3.07977 0.629049        2, -5.98475 0.0105736   7.78391,-4.34139 0.642161        0,4 0 0,-3.40238 0.640502  2.09009,0.826617 0.112257  3.08543, 0.0143249   0.292541 0.00438285   0.956136
9,  4.13555 -0.223165         2,-6.47779 0.738907  8.51619,-4.04699 0.710199        0,4 0 0,-3.14303 0.607087  2.08754,0.919303 0.424391  2.73738, 0.0282065   0.287315 0.00846491   0.957383
10, 3.17031 0.471531        2,  -5.03181 0.00682447    7.48444,-3.15906 0.480116        0,4 0 0,-2.27846 0.478921  2.13049, 1.60834 0.106822  2.44674, 0.0106678   0.263805 0.00291776   0.964513
11,  3.86596 -0.106054         2, -6.13903 0.0241309   6.81636,  -3.31955 -0.0778092          0,4 0 0,  -2.42889 -0.0813102    1.76794, 1.84484 0.039843  2.41853, -0.00117274     0.276234 -0.000337066      0.96109
12,  3.66831 -0.100212         2,-6.37354 0.531942  8.64518,-4.46196 0.578348        0,4 0 0,-3.76858 0.520477  1.71576,  1.60513 0.0526077   2.40636, 0.0211432   0.285981 0.00631176   0.957981
13,  4.42641 -0.695083         2,-6.56713  0.28344   6.7632, -3.14096 -0.368472         0,4 0 0, -2.20382 -0.408919   1.75037,   1.90081 -0.0224952    2.33837, -0.00227368     0.276577 -0.000654374     0.960989
14, 3.78533 0.251239        2,-5.61125 0.387217  8.66731,-3.54441 0.757043        0,4 0 0,-2.49422 0.684573  2.60495, 1.48834 0.265426  2.30762, 0.0236845   0.272315 0.00670515   0.961893
15,  4.07996 -0.242073         2,-6.38999 0.758931   7.7686,-3.73562 0.686174        0,4 0 0,-2.64755 0.556945  2.24081, 1.57225 0.116567   2.5016, 0.0283192   0.280808 0.00828955    0.95931
16, 4.10394 0.386365        2,-5.73468 0.343813   8.1282,-3.18115 0.823129        0,4 0 0,-2.24248 0.766853  2.22672,  1.5155 0.158087  2.25633, 0.0246347   0.270676 0.00692905    0.96233
17,  3.50939 -0.663698         2,-6.16872  1.05001   7.6184,-4.01458 0.616998        0,4 0 0,-3.38495 0.509824  1.46136, 0.735863 -0.149842   3.00562, 0.0325754   0.288529 0.00982262   0.956867
18, 3.46967 0.334666        2,-6.33288 0.224577  7.29223,-4.10549 0.603297        0,4 0 0,-3.23447 0.572409  1.79496,0.991885 0.131475  2.98704, 0.0173097   0.292386 0.00529332   0.956129
19,  3.31476 -0.686484         2,-5.99247 0.570901  8.10523, -4.22953 0.0322578         0,4 0 0,  -3.36373 -0.0502269    2.02345,   0.80234 -0.0011185    2.98516, 0.0108818   0.285979 0.00324784   0.958168
20,  4.06214 -0.239993         2, -5.5441 0.549626  8.29467,-3.07407  0.46747        0,4 0 0,-2.20958 0.381767  2.17009,1.59644 0.32873 2.12491, 0.0205084   0.266701 0.00567657   0.963544
21,   4.1032 -0.312319         2,-6.02207 0.506738  8.14896,-3.48627  0.32631        0,4 0 0,-2.42406 0.236929  2.38114,  1.48016 0.0840534   2.37302, 0.0163539   0.276551 0.00470696   0.960849
22,  4.13551 -0.148134         2,-7.58586 0.522899  6.94941, -4.4493 0.443624        0,4 0 0,-3.61128 0.385858  1.48085,    1.26698 -0.00550279     2.88312, 0.0187571   0.306987 0.00605163    0.95151
23, 3.59547 0.230211        2,-4.96821 0.253202  8.62643,-3.02007 0.567368        0,4 0 0,-2.12287 0.521643  2.46172,  1.3936 0.183576  2.18075, 0.0176851   0.261684 0.00479586    0.96498
24,  3.43959 -0.686217         2,-5.43468  1.22026  7.41961,-3.26033 0.818127        0,4 0 0,-2.36935 0.618074  2.04569, 1.64694 0.169347  2.46607,0.0410902  0.266166 0.0113572  0.962984
25,  3.2129 0.533267        2,-5.99453 0.198323  8.00862,-4.31354 0.782272        0,4 0 0,-3.34859 0.750347  2.16256,0.972132  0.11728  2.94897,0.0206069   0.28862 0.0062135  0.957202
26,  4.39237 -0.768272         2,-7.59184 0.791631  7.35706, -4.3865 0.147136        0,4 0 0, -3.50858 0.0555924   1.61287,  0.835977 -0.0835415    3.08623, 0.0168243   0.303287 0.00535573   0.952736
27,  3.4733 0.227405        2,-6.84744 0.217155  7.02117,-4.47789 0.479564        0,4 0 0, -3.7101 0.455215  1.48653,   1.0223 0.0390172   3.06175, 0.0146016   0.306644 0.00470474   0.951701
28,  3.8936 0.496532        2,-5.88913 0.153538  7.95362,-3.49387 0.689134        0,4 0 0,-2.51693 0.663663  2.21389, 1.52931 0.299522  2.41148, 0.0177924   0.274811 0.00508628    0.96132
29, 4.20453 -0.26448        2,-7.04201 0.205984  8.02083,  -4.36296 -0.0138746          0,4 0 0,  -3.40501 -0.0418952    1.95304, 1.68872 0.245829   2.4188, 0.00321593    0.293897 0.000988825    0.955831
30, 3.23097 -0.49253        2,-5.99947  1.09776  7.42988,-4.04724 0.839209        0,4 0 0,-3.16298  0.67741  1.91986,   1.09594 -0.0322995    2.94872,0.0382194  0.282471 0.0112639  0.958448
31,  3.99009 -0.408567         2,-6.73796 0.755743  7.83872,-4.19028  0.50896        0,4 0 0,-3.13165 0.390221   2.1472,   1.1786 0.0980875   2.79528, 0.0242403   0.291448 0.00738801   0.956251
32,  3.0272 0.654972        2,-4.84796  0.10924  8.45825,-3.39709 0.799731        0,4 0 0,-2.52725 0.780131  2.41548, 1.13881 0.263327  2.53799, 0.0199858   0.264275 0.00547771   0.964225
33, 4.33416 -0.60345        2, -5.8387 0.556492  8.10769,-3.0612 0.10141       0,4 0 0,  -2.07056 0.00699097     2.2698,   1.73136 -0.0253594    2.08402, 0.0124514   0.269555 0.00348567   0.962898
34,  3.14529 -0.827722         2, -5.71697 0.0290389   7.48937, -3.90291 -0.791921         0,4 0 0, -3.02168 -0.796397   1.96321,  1.17895 -0.230974   2.82916, -0.0166918    0.282039 -0.00490775    0.959245
35, 3.68988 0.753755        2, -6.5884 0.023081  6.93931,-3.98074 0.780627        0,4 0 0,-3.17605 0.777808  1.57304, 1.19879 0.204221  2.86746,  0.017344   0.293809 0.00533208   0.955692
36,  3.57903 -0.182325         2,-6.18979 0.413426  7.89034,-4.09448 0.330202        0,4 0 0, -3.2246 0.272101  1.93607,0.839903 0.061094  2.94799, 0.0146332   0.287649 0.00439554   0.957614
37,  3.83258 -0.279131         2,-5.97734 0.398879   7.2426,-3.36821 0.201391        0,4 0 0,-2.40593 0.137177  2.00834,   1.7797 0.0878922   2.40566, 0.0119278   0.274498 0.00340524   0.961508
