number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1,  3.56034 -0.606722         2,-5.52836  2.28716  7.65755,-3.25832  2.21426        0,1.75    0    0,failed,failed,failed
2,   3.1226 -0.177229         2,-6.34064  2.24241  6.66794,-4.10717  2.37963        0,1.75    0    0,failed,failed,failed
3,  4.04036 -0.592443         2,-3.67986  1.55521  6.88189,-0.563987   1.35347         0,1.75    0    0,failed,failed,failed
4,  3.52506 -0.259135         2,-4.72226   1.6436  7.27355,-2.35065  1.78593        0,1.75    0    0,failed,failed,failed
5, 3.99336 0.612888        2,-4.24223  1.33306  7.14631,-1.32977  2.28561        0,1.75    0    0,failed,failed,failed
6,   3.5595 -0.700695         2,-3.16362  1.30212  8.05639,-0.725031   1.06278         0,1.75    0    0,failed,failed,failed
7, 3.76799 0.188422        2,-5.28592 0.796189  7.85807,-2.94933  1.20022        0,1.75    0    0,failed,failed,failed
8,      3.2612 -0.000194814            2,-3.81484  1.81809  7.99348,-1.77483   2.3999        0,1.75    0    0,failed,failed,failed
9,  4.3547 0.202199        2,-5.58539 0.648082  8.37188,-2.84858  1.03801        0,1.75    0    0,-2.31627 0.976241   1.4404,      0       0 2.33516,0.0484342  0.260746 0.0130993  0.964103
10,  3.64822 -0.718619         2,-5.8452  2.0739  8.0699,-3.66289  1.87539        0,1.75    0    0,failed,failed,failed
11,  4.24437 -0.181424         2,-3.76647  1.90619  7.75968,-0.676831   2.30916         0,1.75    0    0,failed,failed,failed
12, 3.97014 0.800975        2,-6.54272 0.581387   8.4926,-4.28562  1.53458        0,1.75    0    0,failed,failed,failed
13, 4.45399 0.413524        2,-6.29615 0.524558  8.45427,-3.52982  1.07869        0,1.75    0    0,failed,failed,failed
14, 4.43139 0.112657        2,-4.39143  1.57286  7.85028,-1.26106   2.1515        0,1.75    0    0,-0.785032     1.981   1.45975,      0       0 2.29701, 0.115169  0.204239 0.0242041  0.971821
15, 4.39914 0.184873        2,-3.85986 0.633295  8.11479,-0.773273   1.03352         0,1.75    0    0,failed,failed,failed
16,  4.33049 -0.482515         2,-4.84045  2.09304  7.67472,-1.77659  2.15822        0,1.75    0    0,failed,failed,failed
17,  3.81446 -0.107858         2,-5.99803 0.980165  7.59864,-3.53681  1.09345        0,1.75    0    0,failed,failed,failed
18,4.04634  0.7456       2,-4.40453   0.3221  6.69737,-1.33487  1.13913        0,1.75    0    0,failed,failed,failed
19,  4.27647 -0.299207         2,-4.97607  1.92644  7.94875,-2.07016  2.15784        0,1.75    0    0,failed,failed,failed
20,3.05504 0.79789       2,-4.04986 0.912909  7.29011,-2.11796  1.96398        0,1.75    0    0,failed,failed,failed
21, 3.74752 0.623635        2,-3.99261 0.546513  7.61161,-1.45654  1.33597        0,1.75    0    0,failed,failed,failed
22,  3.26093 -0.251681         2,-3.13528  1.04616  7.00083,-0.76389   1.0913        0,1.75    0    0,-0.373654  0.961084   1.46612,       0        0 0.444278,0.0905758  0.196658 0.0182484  0.976109
23, 3.34059 0.447997        2,-6.06141    1.173  7.87266,-4.18068  1.90351        0,1.75    0    0,-3.56517  1.78439  1.44195,     0      0 3.3494, 0.101414  0.322419 0.0347661  0.940507
24,  3.5003 0.347854        2,-5.83636   1.5351  7.57241,-3.6467 2.22768       0,1.75    0    0,-3.02107  2.06312  1.48713,      0       0 3.54299, 0.11193 0.293447 0.034619 0.948769
25,  3.72963 -0.788419         2,-5.90662   1.9141  7.40924,-3.41656  1.52737        0,1.75    0    0,failed,failed,failed
26, 3.73424 0.107183        2,-6.78189 0.935558  6.61217,-3.94007  1.16585        0,1.75    0    0,failed,failed,failed
27,  3.94038 -0.662362         2,-5.80258    1.239  7.52971,-3.17087 0.856069        0,1.75    0    0,failed,failed,failed
28, 3.34091 0.633332        2,-4.0267 1.24844 7.38747,-1.81287  2.23122        0,1.75    0    0,failed,failed,failed
29, 4.14441 0.136055        2,-3.98522  1.09979  7.77798,-1.07309  1.57591        0,1.75    0    0,-0.62845   1.4532  1.48897,      0       0 3.17832,0.0892957  0.164829 0.0149859  0.982157
30,   3.61757 -0.0669904          2,-6.68101  1.05418    6.699,-4.00981  1.13651        0,1.75    0    0,failed,failed,failed
31, 3.45538 0.362306        2,-3.10291  1.23593  8.49315,-0.846609   2.07584         0,1.75    0    0,failed,failed,failed
32, 4.04966 0.209656        2,-5.28022  1.11678   7.3339,-2.46446  1.58741        0,1.75    0    0,failed,failed,failed
33,   3.9273 -0.205232         2,-4.9245 1.14406 6.56856,-1.93843  1.15749        0,1.75    0    0,-1.32337   1.0146  1.45282,      0       0 3.51132,0.0736795  0.234121 0.0177972  0.969248
