number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1,3.88341 1.94691       2,-5.64494 -2.35733  8.27725,-3.26659 -1.03893        0,4 0 0,failed,failed,failed
2,3.81832 1.49074       2,-3.76647  -2.8215  7.75968,-1.03172 -2.14248        0,4 0 0,failed,failed,failed
3,4.31704 1.78132       2,-4.39143 -3.20244  7.85028,-1.23916 -2.27053        0,4 0 0,failed,failed,failed
4,1.96715 1.67172       2,-3.82713  -2.4383  7.39785,-2.8906 -1.4232       0,4 0 0,failed,failed,failed
5,1.96605 1.66178       2,-2.07544 -2.06181  8.33484,-0.92169 -1.20699        0,4 0 0,-0.686069 -0.972914    1.5537,  4.14772 -0.397224  0.573155,-0.0719768   0.189571 -0.0139356   0.979126
6,4.04797 1.19323       2,-4.84045 -2.60796  7.67472,-2.01033 -2.07089        0,4 0 0,failed,failed,failed
7, 2.50761 0.948604        2, -4.1034 -1.48761  7.15338, -2.65178 -0.921838         0,4 0 0,failed,failed,failed
8,4.17398 1.47128       2,-4.07969 -2.28862  6.72764,-0.788112  -1.31235         0,4 0 0,-0.386364  -1.08698   1.21328,  5.07609 -0.733498  0.401354,-0.0783119    0.21477 -0.0172793   0.973367
9,0.789526  1.43558        2,-3.83998 -2.44275  7.52556,-4.12098 -1.68817        0,4 0 0,failed,failed,failed
10,3.90391 1.37435       2,-4.97607 -2.79835  7.94875,-2.38132 -2.16022        0,4 0 0, -1.7282 -1.79293  1.80574, 3.63882 -1.69466  1.30547,-0.0993422    0.24355 -0.0250863   0.964461
11,3.86323 2.25632       2,-6.88645  -3.1248  7.91265,-4.34269 -1.46721        0,4 0 0,failed,failed,failed
12,0.646785  2.45839        2,-4.04986 -3.95668  7.29011,-4.29448 -2.36918        0,4 0 0,failed,failed,failed
13,2.75199 1.27123       2,-3.71113 -2.10188  7.36948,-1.99278 -1.41607        0,4 0 0,-1.40578 -1.08361  1.90129, 3.55886 -1.04387  1.46261,-0.0745898   0.224615 -0.0172466   0.971436
